"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Sep 11 22:22:06 SAMT 2022","Sun Sep 11 22:22:20 SAMT 2022","14438","","test_main_page","","","","test_search_notvalid[Empty]","Проверка поля Поиск при указании НЕвалидных значений"
"passed","Sun Sep 11 22:17:53 SAMT 2022","Sun Sep 11 22:18:03 SAMT 2022","9924","","test_main_page","","","","test_search_valid[name_rus]","Проверка поля Поиск при указании валидных значений"
"passed","Sun Sep 11 22:18:18 SAMT 2022","Sun Sep 11 22:18:26 SAMT 2022","7835","","test_main_page","","","","test_search_valid[name + code]","Проверка поля Поиск при указании валидных значений"
"passed","Sun Sep 11 21:33:16 SAMT 2022","Sun Sep 11 21:33:23 SAMT 2022","6288","","test_main_page","","","","test_menu_refrigerator","Тестируем функционал раздела Холодильники в Каталоге"
"passed","Sun Sep 11 20:49:56 SAMT 2022","Sun Sep 11 20:49:58 SAMT 2022","2624","","test_authorization","TestAuthorization","","","test_authorization_not_valid[valid pass from another email-not active email]","Тестируем невалидный вариант авторизации. [НЕГАТИВНЫЙ ТЕСТ]"
"passed","Sun Sep 11 21:54:38 SAMT 2022","Sun Sep 11 21:54:45 SAMT 2022","7046","","test_main_page","","","","test_menu_sportgoods","Тестируем функционал раздела Спорт и отдых в Каталоге"
"passed","Sun Sep 11 20:43:18 SAMT 2022","Sun Sep 11 20:43:23 SAMT 2022","4472","","test_authorization","TestAuthorization","","","test_registration_not_valid[     @mail.ru]","Тестируем невалидный вариант регистрации. [НЕГАТИВНЫЙ ТЕСТ]"
"passed","Mon Sep 12 00:05:19 SAMT 2022","Mon Sep 12 00:05:25 SAMT 2022","6250","","test_main_page","","","","test_menu_climatic","Тестируем функционал раздела Климатическая техника в Каталоге"
"passed","Sun Sep 11 23:47:45 SAMT 2022","Sun Sep 11 23:47:55 SAMT 2022","9803","","test_card_basket","","","","test_field_num_notvalid[symbol]","Тестируем поле для указания количества товаров на невалидные значения"
"passed","Sun Sep 11 21:33:08 SAMT 2022","Sun Sep 11 21:33:12 SAMT 2022","4012","","test_main_page","","","","test_menu_audiovideo","Тестируем функционал раздела Аудио-видео в Каталоге"
"passed","Sun Sep 11 21:56:50 SAMT 2022","Sun Sep 11 21:56:55 SAMT 2022","4996","","test_main_page","","","","test_menu_action","Проверка открытия раздела Акции"
"passed","Sun Sep 11 22:25:20 SAMT 2022","Sun Sep 11 22:25:27 SAMT 2022","7020","","test_main_page","","","","test_social_network","Тестируем открытие ссылок на значках Соцсетей"
"passed","Sun Sep 11 20:50:01 SAMT 2022","Sun Sep 11 20:50:04 SAMT 2022","2899","","test_authorization","TestAuthorization","","","test_authorization_not_valid[not valid pass-not active email]","Тестируем невалидный вариант авторизации. [НЕГАТИВНЫЙ ТЕСТ]"
"passed","Sun Sep 11 22:23:00 SAMT 2022","Sun Sep 11 22:23:08 SAMT 2022","7294","","test_main_page","","","","test_search_notvalid[special]","Проверка поля Поиск при указании НЕвалидных значений"
"passed","Sun Sep 11 20:50:04 SAMT 2022","Sun Sep 11 20:50:06 SAMT 2022","2531","","test_authorization","TestAuthorization","","","test_authorization_not_valid[not valid pass-active email]","Тестируем невалидный вариант авторизации. [НЕГАТИВНЫЙ ТЕСТ]"
"passed","Sun Sep 11 23:47:11 SAMT 2022","Sun Sep 11 23:47:22 SAMT 2022","10518","","test_card_basket","","","","test_field_num_notvalid[empty]","Тестируем поле для указания количества товаров на невалидные значения"
"passed","Sun Sep 11 21:54:51 SAMT 2022","Sun Sep 11 21:54:54 SAMT 2022","3395","","test_main_page","","","","test_menu_discounted","Тестируем функционал раздела Уцененные товары в Каталоге. Проверяем наличие скидки и получаем причину уценки"
"passed","Sun Sep 11 22:16:04 SAMT 2022","Sun Sep 11 22:16:09 SAMT 2022","5049","","test_main_page","","","","test_click_footer","Проверка работы элементов в подвале главной страницы.
    При выполнении теста открываются все ссылки в подвале сайта на новых вкладках и делается скриншот страницы
    последней открытой вкладки... Чтобы сайт не заблочили во время теста, часть кода закомментирована."
"passed","Sun Sep 11 23:48:06 SAMT 2022","Sun Sep 11 23:48:16 SAMT 2022","10310","","test_card_basket","","","","test_field_num_notvalid[chinese]","Тестируем поле для указания количества товаров на невалидные значения"
"passed","Sun Sep 11 20:49:58 SAMT 2022","Sun Sep 11 20:50:01 SAMT 2022","2839","","test_authorization","TestAuthorization","","","test_authorization_not_valid[valid pass from another email-active email]","Тестируем невалидный вариант авторизации. [НЕГАТИВНЫЙ ТЕСТ]"
"passed","Mon Sep 12 00:10:58 SAMT 2022","Mon Sep 12 00:11:05 SAMT 2022","7055","","test_main_page","","","","test_menu_gasstoves","Тестируем функционал раздела Плиты в Каталоге"
"passed","Sun Sep 11 23:45:35 SAMT 2022","Sun Sep 11 23:45:45 SAMT 2022","10043","","test_card_basket","","","","test_add_limit_goods[30]","Тестируем наличие лимита при добавлении одного и того же товара в корзину"
"passed","Sun Sep 11 21:33:12 SAMT 2022","Sun Sep 11 21:33:16 SAMT 2022","4472","","test_main_page","","","","test_menu_comptechnica","Тестируем функционал раздела Компьютерная техника в Каталоге"
"passed","Sun Sep 11 23:25:53 SAMT 2022","Sun Sep 11 23:26:00 SAMT 2022","6784","","test_card_basket","","","","test_counter_basket","Тестируем работу счётчика Корзины"
"passed","Sun Sep 11 23:25:28 SAMT 2022","Sun Sep 11 23:25:38 SAMT 2022","10039","","test_card_basket","","","","test_product_card","Тестируем Карточки товаров на странице.
    Проверяем, что есть наименование, фото, цена, код товара, описание, статус наличия, кнопка <В корзину>"
"passed","Sun Sep 11 20:49:53 SAMT 2022","Sun Sep 11 20:49:56 SAMT 2022","2617","","test_authorization","TestAuthorization","","","test_authorization_not_valid[not active pass-active email]","Тестируем невалидный вариант авторизации. [НЕГАТИВНЫЙ ТЕСТ]"
"passed","Sun Sep 11 21:56:58 SAMT 2022","Sun Sep 11 21:57:01 SAMT 2022","2919","","test_main_page","","","","test_menu_brands","Проверка открытия раздела Бренд-зоны"
"passed","Sun Sep 11 22:30:46 SAMT 2022","Sun Sep 11 22:30:55 SAMT 2022","9464","","test_filter_sort","","","","test_filter_btn_clear","Тестируем кнопку Очистить в разделе Фильтр."
"passed","Sun Sep 11 20:43:26 SAMT 2022","Sun Sep 11 20:43:30 SAMT 2022","3561","","test_authorization","TestAuthorization","","","test_registration_not_valid[five5@mail.рус]","Тестируем невалидный вариант регистрации. [НЕГАТИВНЫЙ ТЕСТ]"
"passed","Sun Sep 11 22:14:22 SAMT 2022","Sun Sep 11 22:14:35 SAMT 2022","12698","","test_main_page","","","","test_menu_header","Проверка работы элементов Верхнего Меню"
"passed","Sun Sep 11 23:25:38 SAMT 2022","Sun Sep 11 23:25:44 SAMT 2022","6766","","test_card_basket","","","","test_put_basket","Тестируем перемещение одного товара В корзину"
"passed","Sun Sep 11 22:18:03 SAMT 2022","Sun Sep 11 22:18:13 SAMT 2022","9764","","test_main_page","","","","test_search_valid[name_en]","Проверка поля Поиск при указании валидных значений"
